"date";"pronostico";"Unidades"
"322";2012-11-17;398.452;311
"323";2012-11-18;7.564;1
"324";2012-11-19;906.128;845
"325";2012-11-20;1266.18;1084
"326";2012-11-21;1262.174;1056
"327";2012-11-22;1345.514;1135
"328";2012-11-23;1472.51;1232
"329";2012-11-24;380.738;329
"330";2012-11-25;8.905;1
"331";2012-11-26;1037.298;893
"332";2012-11-27;1325.778;1180
"333";2012-11-28;1665.931;1323
"334";2012-11-29;1994.544;1448
"335";2012-11-30;2345.288;1565
"336";2012-12-01;377.097;422
"337";2012-12-02;7.438;1
"338";2012-12-03;997.021;1024
"339";2012-12-04;1296.758;1175
"340";2012-12-05;1503.816;1587
"341";2012-12-06;1627.659;1783
"342";2012-12-07;1762.015;1652
"343";2012-12-08;10.674;0
"344";2012-12-09;10.625;0
"345";2012-12-10;1240.388;1238
"346";2012-12-11;1481.801;1583
"347";2012-12-12;1684.877;1729
"348";2012-12-13;1811.69;1827
"349";2012-12-14;1888.035;1861
"350";2012-12-15;512.963;515
"351";2012-12-16;10.419;0
"352";2012-12-17;1215.962;1192
"353";2012-12-18;1402.818;1789
"354";2012-12-19;1700.69;1961
"355";2012-12-20;1944.854;2101
"356";2012-12-21;1768.131;2124
"357";2012-12-22;528.092;904
"358";2012-12-23;11.349;0
"359";2012-12-24;1161.903;535
"360";2012-12-25;35.578;0
"361";2012-12-26;1946.88;1206
"362";2012-12-27;2036.397;1921
"363";2012-12-28;2333.738;2418
"364";2012-12-29;782.826;1087
"365";2012-12-30;18.076;0
"366";2012-12-31;1623.904;68
"367";2013-01-01;12.54;0
"368";2013-01-02;641.103;223
"369";2013-01-03;774.651;402
"370";2013-01-04;844.234;884
"371";2013-01-05;244.334;215
"372";2013-01-06;5.317;0
"373";2013-01-07;13.435;0
"374";2013-01-08;764.893;623
"375";2013-01-09;915.798;1005
"376";2013-01-10;963.739;957
"377";2013-01-11;964.703;1069
"378";2013-01-12;273.751;311
"379";2013-01-13;5.918;1
"380";2013-01-14;668.262;766
"381";2013-01-15;791.845;1063
"382";2013-01-16;898.028;1007
"383";2013-01-17;944.761;1083
"384";2013-01-18;913.283;951
"385";2013-01-19;276.321;248
"386";2013-01-20;6.353;0
"387";2013-01-21;625.822;756
"388";2013-01-22;815.199;816
"389";2013-01-23;978.206;998
"390";2013-01-24;902.76;852
"391";2013-01-25;1075.203;952
"392";2013-01-26;316.321;285
"393";2013-01-27;6.652;0
"394";2013-01-28;826.016;809
"395";2013-01-29;1208.424;983
"396";2013-01-30;1558.003;1178
"397";2013-01-31;1261.718;1104
"398";2013-02-01;918.548;1064
"399";2013-02-02;252.468;224
"400";2013-02-03;6.133;0
"401";2013-02-04;724.253;740
"402";2013-02-05;914.171;885
