FECHA;YEAR;TRM 
10/07/2014;2014;1859.94
11/07/2014;2014;1858.47
12/07/2014;2014;1852.57
15/07/2014;2014;1857.93
16/07/2014;2014;1867.88
17/07/2014;2014;1868.41
18/07/2014;2014;1872.27
19/07/2014;2014;1871.87
22/07/2014;2014;1861.28
23/07/2014;2014;1848.98
24/07/2014;2014;1847.85
25/07/2014;2014;1846.12
26/07/2014;2014;1848.56
29/07/2014;2014;1850.61
30/07/2014;2014;1853.30
31/07/2014;2014;1872.43
1/08/2014;2014;1878.75
2/08/2014;2014;1873.65
5/08/2014;2014;1878.68
6/08/2014;2014;1892.35
7/08/2014;2014;1888.51
9/08/2014;2014;1891.59
12/08/2014;2014;1881.62
13/08/2014;2014;1877.40
14/08/2014;2014;1883.33
15/08/2014;2014;1877.77
16/08/2014;2014;1884.81
20/08/2014;2014;1894.27
21/08/2014;2014;1912.43
22/08/2014;2014;1919.84
23/08/2014;2014;1924.40
26/08/2014;2014;1932.39
27/08/2014;2014;1928.67
28/08/2014;2014;1926.92
29/08/2014;2014;1935.04
30/08/2014;2014;1918.62
3/09/2014;2014;1931.49
4/09/2014;2014;1924.67
5/09/2014;2014;1931.45
6/09/2014;2014;1935.25
9/09/2014;2014;1942.03
10/09/2014;2014;1962.84
11/09/2014;2014;1975.82
12/09/2014;2014;1979.97
13/09/2014;2014;1994.97
16/09/2014;2014;1987.71
17/09/2014;2014;1978.08
18/09/2014;2014;1975.47
19/09/2014;2014;1975.42
20/09/2014;2014;1966.89
23/09/2014;2014;1992.68
24/09/2014;2014;1997.91
25/09/2014;2014;2007.48
26/09/2014;2014;2019.76
27/09/2014;2014;2023.89
30/09/2014;2014;2028.48
1/10/2014;2014;2022.00
2/10/2014;2014;2025.75
3/10/2014;2014;2021.49
4/10/2014;2014;2026.20
7/10/2014;2014;2028.03
8/10/2014;2014;2026.90
9/10/2014;2014;2040.31
10/10/2014;2014;2041.71
11/10/2014;2014;2052.96
15/10/2014;2014;2049.66
16/10/2014;2014;2057.70
17/10/2014;2014;2074.40
18/10/2014;2014;2064.43
21/10/2014;2014;2065.82
22/10/2014;2014;2048.44
23/10/2014;2014;2049.90
24/10/2014;2014;2053.39
25/10/2014;2014;2065.38
28/10/2014;2014;2069.72
29/10/2014;2014;2055.43
30/10/2014;2014;2044.55
31/10/2014;2014;2050.52
1/11/2014;2014;2061.92
5/11/2014;2014;2076.99
6/11/2014;2014;2081.24
7/11/2014;2014;2086.86
8/11/2014;2014;2103.25
11/11/2014;2014;2103.12
13/11/2014;2014;2115.59
14/11/2014;2014;2133.03
15/11/2014;2014;2160.47
19/11/2014;2014;2158.58
20/11/2014;2014;2156.73
21/11/2014;2014;2156.93
22/11/2014;2014;2142.02
25/11/2014;2014;2158.12
26/11/2014;2014;2162.15
27/11/2014;2014;2165.15
29/11/2014;2014;2206.19
2/12/2014;2014;2252.36
3/12/2014;2014;2293.47
4/12/2014;2014;2286.03
5/12/2014;2014;2284.24
6/12/2014;2014;2304.12
10/12/2014;2014;2350.01
11/12/2014;2014;2381.96
12/12/2014;2014;2423.56
13/12/2014;2014;2405.31
16/12/2014;2014;2414.39
17/12/2014;2014;2446.35
18/12/2014;2014;2412.79
19/12/2014;2014;2334.98
20/12/2014;2014;2297.14
23/12/2014;2014;2316.93
24/12/2014;2014;2342.57
25/12/2014;2014;2346.90
27/12/2014;2014;2358.46
30/12/2014;2014;2378.56
31/12/2014;2014;2392.46
3/01/2015;2015;2383.37
6/01/2015;2015;2412.82
7/01/2015;2015;2452.11
8/01/2015;2015;2434.31
9/01/2015;2015;2405.03
10/01/2015;2015;2406.71
14/01/2015;2015;2442.03
15/01/2015;2015;2438.79
16/01/2015;2015;2398.91
17/01/2015;2015;2383.91
21/01/2015;2015;2373.44
22/01/2015;2015;2361.54
23/01/2015;2015;2370.75
24/01/2015;2015;2386.50
27/01/2015;2015;2386.28
28/01/2015;2015;2381.11
29/01/2015;2015;2362.42
30/01/2015;2015;2397.35
31/01/2015;2015;2441.10
3/02/2015;2015;2407.29
4/02/2015;2015;2374.72
5/02/2015;2015;2381.91
6/02/2015;2015;2384.53
7/02/2015;2015;2384.76
10/02/2015;2015;2371.31
11/02/2015;2015;2380.79
12/02/2015;2015;2416.61
13/02/2015;2015;2401.03
14/02/2015;2015;2376.23
18/02/2015;2015;2416.37
19/02/2015;2015;2429.71
20/02/2015;2015;2445.16
21/02/2015;2015;2455.54
24/02/2015;2015;2489.81
25/02/2015;2015;2500.59
26/02/2015;2015;2489.41
27/02/2015;2015;2484.58
28/02/2015;2015;2496.99
3/03/2015;2015;2522.03
4/03/2015;2015;2555.08
5/03/2015;2015;2565.90
6/03/2015;2015;2543.47
7/03/2015;2015;2565.61
10/03/2015;2015;2592.86
11/03/2015;2015;2618.79
12/03/2015;2015;2633.65
13/03/2015;2015;2610.08
14/03/2015;2015;2661.52
17/03/2015;2015;2675.08
18/03/2015;2015;2677.97
19/03/2015;2015;2651.49
20/03/2015;2015;2613.38
21/03/2015;2015;2587.71
25/03/2015;2015;2526.79
26/03/2015;2015;2535.55
27/03/2015;2015;2551.30
28/03/2015;2015;2556.85
31/03/2015;2015;2576.05
1/04/2015;2015;2598.36
2/04/2015;2015;2576.41
7/04/2015;2015;2522.71
8/04/2015;2015;2518.05
9/04/2015;2015;2490.90
10/04/2015;2015;2494.77
11/04/2015;2015;2516.08
14/04/2015;2015;2537.33
15/04/2015;2015;2550.83
16/04/2015;2015;2534.63
17/04/2015;2015;2493.93
18/04/2015;2015;2495.01
21/04/2015;2015;2487.07
22/04/2015;2015;2469.03
23/04/2015;2015;2488.50
24/04/2015;2015;2471.21
25/04/2015;2015;2461.17
28/04/2015;2015;2419.81
29/04/2015;2015;2393.42
30/04/2015;2015;2388.06
1/05/2015;2015;2393.58
5/05/2015;2015;2408.17
6/05/2015;2015;2386.72
7/05/2015;2015;2362.41
8/05/2015;2015;2369.23
9/05/2015;2015;2360.58
12/05/2015;2015;2381.53
13/05/2015;2015;2386.77
14/05/2015;2015;2377.87
15/05/2015;2015;2389.49
16/05/2015;2015;2417.01
20/05/2015;2015;2475.45
21/05/2015;2015;2503.37
22/05/2015;2015;2489.39
23/05/2015;2015;2500.22
27/05/2015;2015;2542.53
28/05/2015;2015;2548.13
29/05/2015;2015;2549.97
30/05/2015;2015;2533.79
2/06/2015;2015;2549.29
3/06/2015;2015;2554.44
4/06/2015;2015;2571.92
5/06/2015;2015;2588.56
6/06/2015;2015;2623.66
10/06/2015;2015;2569.17
11/06/2015;2015;2523.00
12/06/2015;2015;2538.55
13/06/2015;2015;2535.91
17/06/2015;2015;2531.72
18/06/2015;2015;2550.43
19/06/2015;2015;2528.85
20/06/2015;2015;2548.20
23/06/2015;2015;2537.68
24/06/2015;2015;2550.74
25/06/2015;2015;2566.66
26/06/2015;2015;2556.21
27/06/2015;2015;2585.11
1/07/2015;2015;2598.68
2/07/2015;2015;2626.80
3/07/2015;2015;2623.91
4/07/2015;2015;2642.97
7/07/2015;2015;2665.41
8/07/2015;2015;2690.15
9/07/2015;2015;2690.79
10/07/2015;2015;2670.79
11/07/2015;2015;2667.37
14/07/2015;2015;2693.54
15/07/2015;2015;2688.20
16/07/2015;2015;2713.04
17/07/2015;2015;2727.23
18/07/2015;2015;2751.88
22/07/2015;2015;2765.10
23/07/2015;2015;2790.26
24/07/2015;2015;2807.36
25/07/2015;2015;2857.46
28/07/2015;2015;2854.13
29/07/2015;2015;2855.44
30/07/2015;2015;2855.32
31/07/2015;2015;2866.04
1/08/2015;2015;2862.51
4/08/2015;2015;2902.98
5/08/2015;2015;2906.95
6/08/2015;2015;2945.97
7/08/2015;2015;2955.31
11/08/2015;2015;2913.45
12/08/2015;2015;2943.97
13/08/2015;2015;2937.63
14/08/2015;2015;2966.12
15/08/2015;2015;2983.12
19/08/2015;2015;3003.35
20/08/2015;2015;3027.20
21/08/2015;2015;3053.65
22/08/2015;2015;3102.60
25/08/2015;2015;3208.37
26/08/2015;2015;3194.24
27/08/2015;2015;3238.51
28/08/2015;2015;3195.47
29/08/2015;2015;3101.10
1/09/2015;2015;3079.97
2/09/2015;2015;3093.64
3/09/2015;2015;3142.34
4/09/2015;2015;3119.93
5/09/2015;2015;3113.55
9/09/2015;2015;3138.46
10/09/2015;2015;3105.40
11/09/2015;2015;3080.57
12/09/2015;2015;3012.96
15/09/2015;2015;3032.59
16/09/2015;2015;3025.28
17/09/2015;2015;2989.04
18/09/2015;2015;2975.13
19/09/2015;2015;2984.90
22/09/2015;2015;3001.68
23/09/2015;2015;3065.74
24/09/2015;2015;3099.28
25/09/2015;2015;3135.17
26/09/2015;2015;3080.44
29/09/2015;2015;3096.98
30/09/2015;2015;3121.94
1/10/2015;2015;3086.75
2/10/2015;2015;3061.85
3/10/2015;2015;3034.90
6/10/2015;2015;2971.15
7/10/2015;2015;2913.74
8/10/2015;2015;2891.91
9/10/2015;2015;2887.21
10/10/2015;2015;2855.74
14/10/2015;2015;2910.70
15/10/2015;2015;2928.69
16/10/2015;2015;2908.87
17/10/2015;2015;2879.89
20/10/2015;2015;2912.99
21/10/2015;2015;2929.19
22/10/2015;2015;2966.68
23/10/2015;2015;2925.36
24/10/2015;2015;2912.08
27/10/2015;2015;2918.21
28/10/2015;2015;2950.87
29/10/2015;2015;2926.75
30/10/2015;2015;2921.32
31/10/2015;2015;2897.83
4/11/2015;2015;2825.25
5/11/2015;2015;2819.63
6/11/2015;2015;2853.32
7/11/2015;2015;2896.19
10/11/2015;2015;2921.15
11/11/2015;2015;2935.86
13/11/2015;2015;3009.36
14/11/2015;2015;3073.23
18/11/2015;2015;3069.24
19/11/2015;2015;3108.70
20/11/2015;2015;3082.04
21/11/2015;2015;3047.31
24/11/2015;2015;3086.82
25/11/2015;2015;3074.35
26/11/2015;2015;3099.75
28/11/2015;2015;3101.10
1/12/2015;2015;3142.11
2/12/2015;2015;3131.95
3/12/2015;2015;3166.67
